Nombre,Equipo,Liga,Fecha Fichaje,Contrato Hasta,Fecha Nacimiento,Lugar Nacimiento,Nacionalidad,Altura,Posicion,Seleccion,Partidos Internacionales,Goles,Valor Mercado,Ultima Revision,Pie,Agente,Proveedor
Thibaut Courtois,Real Madrid,LaLiga,09/08/2018,30/06/2026,11/05/1992 (32),Bree,Bélgica,"2,00 m",Portero,Selección no encontrada,102,0,"25,00 mill. €",11/10/2024,Izquierdo,Christophe Henrotay,Nike
Andriy Lunin,Real Madrid,LaLiga,01/07/2018,30/06/2030,11/02/1999 (25),"Krasnograd, Kharkiv ...",Ucrania,"1,91 m",Portero,Ucrania,13,0,"25,00 mill. €",07/06/2024,Derecho,Gestifute,adidas
Éder Militão,Real Madrid,LaLiga,01/07/2019,30/06/2028,18/01/1998 (26),Sertãozinho,Brasil,"1,86 m",Defensa central,Brasil,35,2,"60,00 mill. €",07/06/2024,Derecho,UJ Football Talent,adidas
Antonio Rüdiger,Real Madrid,LaLiga,01/07/2022,30/06/2026,03/03/1993 (31),Berlin,Alemania,"1,90 m",Defensa central,Alemania,76,3,"25,00 mill. €",07/06/2024,Derecho,FSB – ...,Under Armour
David Alaba,Real Madrid,LaLiga,01/07/2021,30/06/2026,24/06/1992 (32),Wien,Austria,"1,80 m",Defensa central,Austria,105,15,"15,00 mill. €",11/10/2024,Izquierdo,Miembro de su familia,adidas
Jesús Vallejo,Real Madrid,LaLiga,31/07/2015,30/06/2025,05/01/1997 (27),Zaragoza,España,"1,84 m",Defensa central,Selección no encontrada,0,0,"1,00 mill. €",07/06/2024,Derecho,Agente no encontrado,Nike
Ferland Mendy,Real Madrid,LaLiga,01/07/2019,30/06/2025,08/06/1995 (29),Meulan-en-Yvelines,Francia,"1,80 m",Lateral izquierdo,Francia,10,0,"22,00 mill. €",07/06/2024,Izquierdo,FAIR SPORT MNG,Proveedor no encontrado
Fran García,Real Madrid,LaLiga,01/07/2023,30/06/2027,14/08/1999 (25),Bolaños de ...,España,"1,69 m",Lateral izquierdo,Selección no encontrada,2,0,"15,00 mill. €",07/06/2024,Izquierdo,Be Loyal by Ginés ...,adidas
Daniel Carvajal,Real Madrid,LaLiga,01/07/2013,30/06/2026,11/01/1992 (32),Leganés,España,"1,73 m",Lateral derecho,España,51,1,"12,00 mill. €",07/06/2024,Derecho,Be Loyal by Ginés ...,Puma
Lucas Vázquez,Real Madrid,LaLiga,02/07/2015,30/06/2025,01/07/1991 (33),A Coruña,España,"1,73 m",Lateral derecho,Selección no encontrada,9,0,"4,00 mill. €",07/06/2024,Derecho,AC Talent,adidas
Aurélien Tchouaméni,Real Madrid,LaLiga,01/07/2022,30/06/2028,27/01/2000 (24),Rouen,Francia,"1,88 m",Pivote,Francia,36,3,"100,00 mill. €",07/06/2024,Derecho,ESN,Nike
Federico Valverde,Real Madrid,LaLiga,01/07/2018,30/06/2029,22/07/1998 (26),Montevideo,Uruguay,"1,82 m",Mediocentro,Uruguay,65,7,"130,00 mill. €",11/10/2024,Derecho,Wasserman,Nike
Eduardo Camavinga,Real Madrid,LaLiga,31/08/2021,30/06/2029,10/11/2002 (21),Cabinda,Francia,"1,82 m",Mediocentro,Francia,21,1,"100,00 mill. €",07/06/2024,Izquierdo,CAA Stellar,Nike
Luka Modric,Real Madrid,LaLiga,27/08/2012,30/06/2025,09/09/1985 (39),Zadar,Croacia,"1,72 m",Mediocentro,Croacia,182,27,"6,00 mill. €",07/06/2024,Derecho,Universal Twenty Two,Nike
Dani Ceballos,Real Madrid,LaLiga,14/07/2017,30/06/2027,07/08/1996 (28),Utrera,España,"1,79 m",Mediocentro,Selección no encontrada,13,1,"4,00 mill. €",11/10/2024,Derecho,Miembro de su familia,Nike
Jude Bellingham,Real Madrid,LaLiga,01/07/2023,30/06/2029,29/06/2003 (21),Stourbridge,Inglaterra,"1,86 m",Mediocentro ofensivo,Inglaterra,38,6,"180,00 mill. €",07/06/2024,Derecho,Agente no encontrado,adidas
Brahim Díaz,Real Madrid,LaLiga,06/01/2019,30/06/2027,03/08/1999 (25),Málaga,Marruecos,"1,70 m",Mediocentro ofensivo,Marruecos,6,2,"40,00 mill. €",07/06/2024,Ambidiestro,Sports&Life,adidas
Vinicius Junior,Real Madrid,LaLiga,12/07/2018,30/06/2027,12/07/2000 (24),São Gonçalo,Brasil,"1,76 m",Extremo izquierdo,Brasil,35,5,"200,00 mill. €",11/10/2024,Derecho,Roc Nation Sports,Nike
Rodrygo,Real Madrid,LaLiga,01/07/2019,30/06/2028,09/01/2001 (23),Osasco,Brasil,"1,74 m",Extremo derecho,Brasil,31,7,"110,00 mill. €",07/06/2024,Derecho,Un1que Football,Nike
Arda Güler,Real Madrid,LaLiga,06/07/2023,30/06/2029,25/02/2005 (19),Ankara,Turquía,"1,75 m",Extremo derecho,Turquía,16,3,"45,00 mill. €",18/07/2024,Izquierdo,Miembro de su familia,Nike
Kylian Mbappé,Real Madrid,LaLiga,01/07/2024,30/06/2029,20/12/1998 (25),Paris,Francia,"1,78 m",Delantero centro,Francia,86,48,"180,00 mill. €",03/06/2024,Derecho,Miembro de su familia,Nike
Endrick,Real Madrid,LaLiga,21/07/2024,30/06/2030,21/07/2006 (18),Taguatinga,Brasil,"1,73 m",Delantero centro,Brasil,13,3,"60,00 mill. €",17/06/2024,Izquierdo,Roc Nation Sports,New Balance
Marc-André ter Stegen,FC Barcelona,LaLiga,01/07/2014,30/06/2028,30/04/1992 (32),Mönchengladbach,Alemania,"1,87 m",Portero,Alemania,42,0,"20,00 mill. €",11/10/2024,Derecho,ROOF,adidas
Iñaki Peña,FC Barcelona,LaLiga,30/01/2022,30/06/2026,02/03/1999 (25),Alicante,España,"1,84 m",Portero,Selección no encontrada,0,0,"8,00 mill. €",07/06/2024,Derecho,WAKAI SPORTS,Nike
Wojciech Szczęsny,FC Barcelona,LaLiga,02/10/2024,30/06/2025,18/04/1990 (34),Warszawa,Polonia,"1,96 m",Portero,Selección no encontrada,84,0,"3,00 mill. €",11/10/2024,Derecho,CAA Stellar,Nike
Ronald Araujo,FC Barcelona,LaLiga,05/10/2020,30/06/2026,07/03/1999 (25),Rivera,Uruguay,"1,92 m",Defensa central,Uruguay,20,2,"70,00 mill. €",07/06/2024,Derecho,Excellence Sport,Nike
Pau Cubarsí,FC Barcelona,LaLiga,01/01/2024,30/06/2027,22/01/2007 (17),Estanyol,España,"1,84 m",Defensa central,España,3,0,"40,00 mill. €",11/10/2024,Derecho,Agente no encontrado,Proveedor no encontrado
Andreas Christensen,FC Barcelona,LaLiga,04/07/2022,30/06/2026,10/04/1996 (28),Lillerød,Dinamarca,"1,87 m",Defensa central,Dinamarca,74,3,"30,00 mill. €",11/10/2024,Derecho,KIN Partners,adidas
Eric García,FC Barcelona,LaLiga,01/07/2021,30/06/2026,09/01/2001 (23),Barcelona,España,"1,82 m",Defensa central,España,11,0,"20,00 mill. €",07/06/2024,Derecho,De la Peña & ...,Proveedor no encontrado
Iñigo Martínez,FC Barcelona,LaLiga,05/07/2023,30/06/2025,17/05/1991 (33),Ondarroa,España,"1,82 m",Defensa central,España,21,1,"5,00 mill. €",07/06/2024,Izquierdo,Carmelo Sánchez,Proveedor no encontrado
Alejandro Balde,FC Barcelona,LaLiga,01/07/2022,30/06/2028,18/10/2003 (21),Barcelona,España,"1,75 m",Lateral izquierdo,Selección no encontrada,7,0,"40,00 mill. €",07/06/2024,Izquierdo,Gestifute,Nike
Gerard Martín,FC Barcelona,LaLiga,01/07/2024,30/06/2025,26/02/2002 (22),Esplugues de ...,España,"1,86 m",Lateral izquierdo,Selección no encontrada,Partidos y goles no encontrados,Partidos y goles no encontrados,"3,00 mill. €",11/10/2024,Izquierdo,JV SPORTS,Proveedor no encontrado
Jules Koundé,FC Barcelona,LaLiga,28/07/2022,30/06/2027,12/11/1998 (25),Paris,Francia,"1,80 m",Lateral derecho,Francia,36,0,"55,00 mill. €",11/10/2024,Derecho,ESN,adidas
Héctor Fort,FC Barcelona,LaLiga,01/07/2024,30/06/2026,02/08/2006 (18),Barcelona,España,"1,85 m",Lateral derecho,España S19,6,0,"10,00 mill. €",07/06/2024,Derecho,AC Talent,adidas
Marc Casadó,FC Barcelona,LaLiga,01/07/2024,30/06/2028,14/09/2003 (21),Sant Pere de ...,España,"1,72 m",Pivote,España S21,1,0,"15,00 mill. €",11/10/2024,Derecho,Wasserman,Nike
Marc Bernal,FC Barcelona,LaLiga,01/07/2024,30/06/2026,26/05/2007 (17),Berga,España,"1,91 m",Pivote,España S17,9,0,"5,00 mill. €",11/10/2024,Izquierdo,Agente conocido - jugador menor de edad,Proveedor no encontrado
Gavi,FC Barcelona,LaLiga,01/07/2021,30/06/2026,05/08/2004 (20),Los Palacios y ...,España,"1,73 m",Mediocentro,España,27,5,"90,00 mill. €",07/06/2024,Derecho,De la Peña & ...,Nike
Pedri,FC Barcelona,LaLiga,02/09/2019,30/06/2026,25/11/2002 (21),Tegueste,España,"1,74 m",Mediocentro,España,27,2,"80,00 mill. €",07/06/2024,Derecho,LEADERBROCK,adidas
Frenkie de Jong,FC Barcelona,LaLiga,01/07/2019,30/06/2026,12/05/1997 (27),Arkel,Países Bajos,"1,81 m",Mediocentro,Selección no encontrada,54,2,"60,00 mill. €",11/10/2024,Derecho,HCM Sports ...,Nike
