Nombre,Equipo,Liga,Fecha Nacimiento,Edad,Contrato Hasta,Lugar Nacimiento,Posicion,Valor Mercado,Agente,Proveedor
Thibaut Courtois,Real Madrid,LaLiga,11/05/1992,32,30/06/2026,Bree,Portero,25000000,Christophe Henrotay,Nike
Andriy Lunin,Real Madrid,LaLiga,11/02/1999,25,30/06/2030,"Krasnograd, Kharkiv ...",Portero,25000000,Gestifute,adidas
Éder Militão,Real Madrid,LaLiga,18/01/1998,26,30/06/2028,Sertãozinho,Defensa central,60000000,UJ Football Talent,adidas
Antonio Rüdiger,Real Madrid,LaLiga,03/03/1993,31,30/06/2026,Berlin,Defensa central,25000000,FSB – ...,Under Armour
David Alaba,Real Madrid,LaLiga,24/06/1992,32,30/06/2026,Wien,Defensa central,15000000,Miembro de su familia,adidas
Jesús Vallejo,Real Madrid,LaLiga,05/01/1997,27,30/06/2025,Zaragoza,Defensa central,1000000,Agente no encontrado,Nike
Ferland Mendy,Real Madrid,LaLiga,08/06/1995,29,30/06/2025,Meulan-en-Yvelines,Lateral izquierdo,22000000,FAIR SPORT MNG,Proveedor no encontrado
Fran García,Real Madrid,LaLiga,14/08/1999,25,30/06/2027,Bolaños de ...,Lateral izquierdo,15000000,Be Loyal by Ginés ...,adidas
Daniel Carvajal,Real Madrid,LaLiga,11/01/1992,32,30/06/2026,Leganés,Lateral derecho,12000000,Be Loyal by Ginés ...,Puma
Lucas Vázquez,Real Madrid,LaLiga,01/07/1991,33,30/06/2025,A Coruña,Lateral derecho,4000000,AC Talent,adidas
Aurélien Tchouaméni,Real Madrid,LaLiga,27/01/2000,24,30/06/2028,Rouen,Pivote,100000000,ESN,Nike
Federico Valverde,Real Madrid,LaLiga,22/07/1998,26,30/06/2029,Montevideo,Mediocentro,130000000,Wasserman,Nike
Eduardo Camavinga,Real Madrid,LaLiga,10/11/2002,21,30/06/2029,Cabinda,Mediocentro,100000000,CAA Stellar,Nike
Luka Modric,Real Madrid,LaLiga,09/09/1985,39,30/06/2025,Zadar,Mediocentro,6000000,Universal Twenty Two,Nike
Dani Ceballos,Real Madrid,LaLiga,07/08/1996,28,30/06/2027,Utrera,Mediocentro,4000000,Miembro de su familia,Nike
